url,type
https://www.wareseeker.com/free-jehane-benoit-recipes/,legitimate
http://glasstecnologia.com.br/chase/home/index.php,phishing
https://www.thirtydollardatenight.com/Date_Details/Cook+dinner+together+-+naked!,legitimate
http://midwest-embroidery.com/images/EMAIL/,phishing
https://uimc.ui.edu.ng/service/update/,phishing
https://www.yelp.ca/biz/little-sheep-mongolian-hot-pot-montreal,legitimate
https://www.myspace.com/video/vid/1368073095,legitimate
http://kf25zx.com/images?http://us.battle.net/login/en/http://www.toitoi.com.tw/wp-admin,phishing
http://euiro.com/consignment/arrival/dhl/,phishing
https://www.vaibhavind.com/,legitimate
http://surubiproducciones.com/wp/wp-includes/js/imgareaselect/jpg/art/new,phishing
http://diamondtapes.com/wp-includes/css/googledrive.html,phishing
https://www.linkedin.com/company/the-clorox-company,legitimate
http://bilbaopisos.es/HSBC_BANK.STORAGE_DATA/secure.payment.html,phishing
https://www.docstoc.com/docs/77539275/Lifetime-Management-of-Power-Transformers,legitimate
https://www.dialogic.com/default.htm,legitimate
https://www.behindthevoiceactors.com/voice-compare/Snow-White/Witch/,legitimate
http://zshu9x2oxg.kulytaxisubwsed.net/fi40ha0vvi\nwww.kaprisearch.info/filter.php?mid=1535808aad8228&tu=52331,phishing
https://www.amazon.com/phrase/Andrew-Macphail,legitimate
https://www.pc.ign.com/objects/855/855444.html,legitimate
https://www.beenverified.com/p/joseph+metzger,legitimate
https://www.answers.com/topic/wall-to-wall,legitimate
https://www.rule34.booru.org/index.php?page=post&s=view&id=762395,legitimate
https://www.facebook.com/pages/RBC-Capital-Markets/109446335748951,legitimate
http://www.hgmedical.ro/sneensn/sneensn/sneensn/products/viewer.php,phishing
https://www.voldaobscura.com/,legitimate
https://www.pikanchi-double.livejournal.com/,legitimate
http://mak.wak2p.com,phishing
http://www.pisqr.net/medic/www.loginalibaba.com/alibaba/alibaba/login.alibaba.com.php,phishing
https://www.dbs.umt.edu/people/gradStudents.php,legitimate
https://www.indonesiamatters.com/25/chinese-deaths-in-the-196566-pogroms/,legitimate
https://www.jazzmusicarchives.com/pat-martino--undeniable-live-at-blues-alley(live).aspx,legitimate
https://www.profilecanada.com/companydetail.cfm?company=109730_Ivanhoe_Cambridge_Montral_QC,legitimate
http://bjcurio.com/js/index.htm?http://us.battle.net/login/en/?ref=http://hqjcajyus.battle.net/d3/en/index,phishing
http://cke8q1.lucirabydevpps.info/zla4u55jxc\nwww.doblatuproductividad.com/000ded60ea040d013384ba6eac24fdf1.php?q=00d99394125a37085e8f4f81ddee3c18,phishing
https://www.4shared.com/file/KeZR8g7Q/Twixtor_5_.html,legitimate
https://www.examiner.com/swing-and-big-band-in-national/diana-krall-to-performed-solo-at-the-montreal-jazz-festival,legitimate
http://sintaxedigital.com.br/dosecerta/wp-admin/js/Assurance/Ameli/PortailAS/appmanager/PortailAS/assure_somtc=true/79f931c85cecd5ea2f76208623275ae9/,phishing
https://smsverificationmms.myfreesites.net/,phishing
http://bit.ly/1gtkEpc,phishing
https://www.duckduckgo.com/1/c/American_football_punters,legitimate
http://kiltonmotor.com/others/m.i.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&username=&username1=&.rand=13InboxLight.aspx?n=1774256418&fid=4#n=1252899642&fid=1&fav=1,phishing
https://www.hms.harvard.edu/dms/BBS/fac/Shiya.php,legitimate
http://facebook.com.smartclick.top/tech/fb/?bid=0.001&amp;browse=Firefox%20/%2049&amp;browser=Firefox&amp;campid=3781104&amp;cateid=253&amp;cntryx=US&amp;f=104&amp;formfa=Desktop/Notebook&amp;keywrd=&amp;qualty=2&amp;resolu=1280x960&amp;siteid=1149969&amp;sxid=d85641b0c5uu&amp;type=pop,phishing
http://kohlesekdamodar.trucksbyswat.com/hmz7v51txn.php\nwww.marinawassersport.de/index.php?option=com_content&view=article&id=118&Itemid=282,phishing
http://skydronestore.com/wp-content/cache/old/paypal.com/USA/,phishing
http://educatingwellness.com/ServiceE/78c95/home?webapps/mpp/merchant,phishing
http://apkmandroid.com/2015/04/4-2.html,phishing
https://www.en.wikipedia.org/wiki/Dialogic_Corporation,legitimate
http://atstory.com/938fhnr3,phishing
http://rankedcaut.ru/gate.php,phishing
https://signup.pretfit.com/pt/html/sf/cc/sweep.html#&amp;sf=sweep&amp;lng=pt&amp;m=sweepstakes&amp;s=iphone_xs&amp;ref=5152270&amp;prod=804&amp;spid=w8J3I5ULHSA94MGI1L3MNJ96&amp;sub_id=SUN&amp;_sign=403ad8b832a880c4e6b59a4b6d601170&amp;_signt=1543247253&amp;utm_expid=72006323-789.DzMEuOEmQxyanFxziHGtag.0,phishing
http://bogdanobradovic.com/components/com_newsfeeds/views/newsfeed/tmpl/update/css/web.html,phishing
https://www.genforum.genealogy.com/hosey/messages/372.html,legitimate
http://dotshogi.50webs.com/xosh5mnv,phishing
http://outlook.selfip.net/,phishing
