url,type,cluster,phishing_subtype
http://glasstecnologia.com.br/chase/home/index.php,phishing,3,suspicious
http://midwest-embroidery.com/images/EMAIL/,phishing,0,suspicious
https://uimc.ui.edu.ng/service/update/,phishing,0,suspicious
http://kf25zx.com/images?http://us.battle.net/login/en/http://www.toitoi.com.tw/wp-admin,phishing,2,suspicious
http://euiro.com/consignment/arrival/dhl/,phishing,4,suspicious
http://surubiproducciones.com/wp/wp-includes/js/imgareaselect/jpg/art/new,phishing,3,suspicious
http://diamondtapes.com/wp-includes/css/googledrive.html,phishing,3,suspicious
http://bilbaopisos.es/HSBC_BANK.STORAGE_DATA/secure.payment.html,phishing,0,suspicious
http://zshu9x2oxg.kulytaxisubwsed.net/fi40ha0vvi\nwww.kaprisearch.info/filter.php?mid=1535808aad8228&tu=52331,phishing,0,suspicious
http://www.hgmedical.ro/sneensn/sneensn/sneensn/products/viewer.php,phishing,2,suspicious
http://mak.wak2p.com,phishing,0,suspicious
http://www.pisqr.net/medic/www.loginalibaba.com/alibaba/alibaba/login.alibaba.com.php,phishing,2,suspicious
http://bjcurio.com/js/index.htm?http://us.battle.net/login/en/?ref=http://hqjcajyus.battle.net/d3/en/index,phishing,0,suspicious
http://cke8q1.lucirabydevpps.info/zla4u55jxc\nwww.doblatuproductividad.com/000ded60ea040d013384ba6eac24fdf1.php?q=00d99394125a37085e8f4f81ddee3c18,phishing,0,suspicious
http://sintaxedigital.com.br/dosecerta/wp-admin/js/Assurance/Ameli/PortailAS/appmanager/PortailAS/assure_somtc=true/79f931c85cecd5ea2f76208623275ae9/,phishing,0,suspicious
https://smsverificationmms.myfreesites.net/,phishing,0,suspicious
http://bit.ly/1gtkEpc,phishing,3,suspicious
http://kiltonmotor.com/others/m.i.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&username=&username1=&.rand=13InboxLight.aspx?n=1774256418&fid=4#n=1252899642&fid=1&fav=1,phishing,4,suspicious
http://facebook.com.smartclick.top/tech/fb/?bid=0.001&amp;browse=Firefox%20/%2049&amp;browser=Firefox&amp;campid=3781104&amp;cateid=253&amp;cntryx=US&amp;f=104&amp;formfa=Desktop/Notebook&amp;keywrd=&amp;qualty=2&amp;resolu=1280x960&amp;siteid=1149969&amp;sxid=d85641b0c5uu&amp;type=pop,phishing,0,suspicious
http://kohlesekdamodar.trucksbyswat.com/hmz7v51txn.php\nwww.marinawassersport.de/index.php?option=com_content&view=article&id=118&Itemid=282,phishing,1,suspicious
http://skydronestore.com/wp-content/cache/old/paypal.com/USA/,phishing,1,suspicious
http://educatingwellness.com/ServiceE/78c95/home?webapps/mpp/merchant,phishing,3,suspicious
http://apkmandroid.com/2015/04/4-2.html,phishing,1,suspicious
http://atstory.com/938fhnr3,phishing,0,suspicious
http://rankedcaut.ru/gate.php,phishing,4,suspicious
https://signup.pretfit.com/pt/html/sf/cc/sweep.html#&amp;sf=sweep&amp;lng=pt&amp;m=sweepstakes&amp;s=iphone_xs&amp;ref=5152270&amp;prod=804&amp;spid=w8J3I5ULHSA94MGI1L3MNJ96&amp;sub_id=SUN&amp;_sign=403ad8b832a880c4e6b59a4b6d601170&amp;_signt=1543247253&amp;utm_expid=72006323-789.DzMEuOEmQxyanFxziHGtag.0,phishing,0,suspicious
http://bogdanobradovic.com/components/com_newsfeeds/views/newsfeed/tmpl/update/css/web.html,phishing,0,suspicious
http://dotshogi.50webs.com/xosh5mnv,phishing,4,suspicious
http://outlook.selfip.net/,phishing,3,suspicious
http://zubygems.business/Update/your-account/informations/apple...,phishing,3,suspicious
http://xjbctcky.com/images/?app=com-d3,phishing,0,suspicious
http://maoa.net/sign/fdocsign/fdoc/plx/page/al.php,phishing,4,suspicious
http://customlogomatsng.com/admin/mani/b0028c287609714d60df89942ca88094/,phishing,0,suspicious
http://luxmura.net/data/cheditor4/1104/bookmark/ii.php?rand=13InboxLightaspxn.1774256418,phishing,4,suspicious
https://copper.furstlook.com/%7Eplay2earn/Hotmail/live.com/...,phishing,0,suspicious
http://wilcarobbe.com/zapoy/gate.php,phishing,4,suspicious
http://websitehosting.today/newdoc/newdoc1/,phishing,0,suspicious
http://sewingmaker.com/webroot/DHL_courier_service/autofil/id.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID,phishing,0,suspicious
http://www.cialowterapii.pl/libraries/simplepie/idn/,phishing,2,suspicious
http://serviciomaff.com/template3/js/_notes/,phishing,0,suspicious
http://hrenner.gmxhome.de/09u9jn87,phishing,3,suspicious
http://www.monparfum.it/payments/info.doc,phishing,2,suspicious
http://unlaccothe.ru/sliva/gate.php,phishing,4,suspicious
https://wtsbharat.org/bin/aro/,phishing,0,suspicious
http://shingpohk.com/wc2mp0d,phishing,0,suspicious
http://terravalenciana.com/sk/busines/,phishing,1,suspicious
http://santiniorlando.it/contenuti/lavori/immagine_869.WB26f745fb63a32cdec3.php,phishing,1,suspicious
http://aningmasule.ru/sliva/gate.php,phishing,4,suspicious
http://jvsecurepay.com/access/auth/login.html,phishing,0,suspicious
http://www.msx4.me/3f4c1n/jnms7e/cdr-UOLWifi-4.html,phishing,2,suspicious
http://netherlands-icscards2016.it/ics/login/ecaf62637c81a7be34fd99582120f85b/ayoub.php?free=_login-run,phishing,0,suspicious
http://www.absoluteerp.in/fatura/conta/Inovar/,phishing,2,suspicious
http://crabtour.com/mvbh0,phishing,0,suspicious
http://mfmazetomatrix.com/wp-includes/news/new,phishing,3,suspicious
