url,type
http://centralassociatesltd.com/richieeee/index.php,phishing
https://www.sbsmnlaw.com/attorney-profiles/,legitimate
https://www.encyclopedia.com/video/dr_g23qi9hg-che-guevara-song-hasta-siempre.aspx,legitimate
https://www.californiabeat.org/2010/08/02/the-end-of-an-era-farewell-to-the-transbay-terminal,legitimate
https://www.ccdr.org/joan_p_kealiinohomoku.html,legitimate
https://www.myspace.com/vylan,legitimate
http://xjbctcky.com/images/?app=com-d3&amp;us.battle.net/login/enhttp=,phishing
https://www.en.wikipedia.org/wiki/Place_du_Portage,legitimate
https://www.stlouis.about.com/b/2011/07/28/st-charles-county-fair-2011.htm,legitimate
https://www.hikercentral.com/campgrounds/109226.html,legitimate
http://mdkfhskbfmfdcu.work/checkupdate,phishing
https://t.co/hjl9FwDAld,phishing
https://www.chairmanoftheboardinc.com/,legitimate
http://triofloridashow.com/ap/amzon/amzon/8bd58ab8131926c8f342b405377aef36/index/web/login.php,phishing
https://www.facebook.com/people/Conrad-Black/100000600135988,legitimate
https://www.theplace4mortgages.com/,legitimate
https://www.timeanddate.com/library/abbreviations/timezones/au/est.html,legitimate
https://www.kansascitymissouri.diningandspirits.com/mexican.php,legitimate
https://www.mylife.com/elissagrindatto,legitimate
https://www.montrealgazette.com/sports/Grands+Prix+Cycliste+Quebec+Montreal+relying+names+success/5296196/story.html,legitimate
http://80.65.93.241/webalizer/cgi/alsitov.php?m=login,phishing
https://www.en.wikipedia.org/wiki/Premier_League,legitimate
http://copperkingdom.net/fmsk/darren/bronz/,phishing
https://www.niagara-realtor.com/,legitimate
http://intimvision.com/spear/magic/propertyacess/sonto/,phishing
http://zampones.vila-real.com/media/well.htm,phishing
https://www.castlehollowproductions.com/,legitimate
https://www.fandango.com/tommyrall/filmography/p58568,legitimate
https://www.oakland.athletics.mlb.com/spring_training/ballpark.jsp?c_id=oak,legitimate
https://www.upcoming.yahoo.com/venue/574862/WA/Olympia/Emilie-Gamelin-Pavilion,legitimate
http://smokintech.com/8g74crec/?TgIDdUFuDuW=eLtcYenGhm,phishing
https://www.tviv.org/The_Kidsongs_Television_Show/Season_One,legitimate
http://ippartner.cl/js/Ali/Alibaba/safeguardyouraccountsecurity.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=info@fomed.com&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4,phishing
https://www.one2oneconsulting.net/,legitimate
http://6i3cb6owitcouepv.micropaysearch.com/1Nswsiv,phishing
https://www.tarnoffartcenter.org/TarnoffArtCenter/Instructors_%26_Staff.html,legitimate
https://www.montreal.kijiji.ca/c-real-estate-apartments-condos-1-bedroom-APP-3-1-2-A-PONT-VIAU-LAVAL-W0QQAdIdZ303935276,legitimate
https://www.ll.georgetown.edu/federal/judicial/fed/opinions/01opinions/01-5057.html,legitimate
http://gypsu.com/g490f,phishing
http://findbsbnumbers.com.au/branch/3491,phishing
https://certifiedresumewriters.com/,legitimate
http://servprotectproserveur.freeweb.pk/,phishing
https://www.vividseats.com/ncaaf/kansas-state-wildcats-tickets.html,legitimate
https://www.tripadvisor.com/ShowUserReviews-g44535-d390916-r81865923-Savoy_Grill-Kansas_City_Missouri.html,legitimate
https://www.en.wikipedia.org/wiki/Category:American_musical_comedy_films,legitimate
https://www.answers.com/topic/ben-chapman-actor,legitimate
https://www.faculty.washington.edu/aschiff/,legitimate
https://www.192.com/atoz/people/o'neill/patrick/,legitimate
https://www.facebook.com/Ltcstudios1,legitimate
https://www.tour.suite703.com/scenes/adam_russo_and_dodger_wolf/11794/,legitimate
http://encryptedocspdfssl.qatarism.com/0c631e5a1d501a333938c3324197542...,phishing
https://www.thestreet.com/quote/CINF.html,legitimate
https://www.facebook.com/brian.watts,legitimate
https://www.filmreference.com/film/70/Pierre-Lebeau.html,legitimate
https://www.stadiumjourney.com/stadiums/oracle-arena-s118/,legitimate
http://jardincaracol.cl/license/webnet/,phishing
http://samssara.com/8fh34f3,phishing
https://www.people.famouswhy.com/queenie_watts/,legitimate
https://www.oakland.athletics.mlb.com/team/draft.jsp?c_id=oak&year=2007,legitimate
https://www.ril.com/html/aboutus/founder.html,legitimate
http://uonder.googlecode.com/svn/svrc.exe,phishing
https://www.store.heavyartillery.us/index.php?main_page=product_music_info&products_id=451,legitimate
https://www.facebook.com/thembonesrocks,legitimate
http://festainfantilbh.com.br/toboga/index.htm,phishing
https://www.folk-art.com/,legitimate
http://baraonda.gr/43ftybb8,phishing
https://www.en.wikipedia.org/wiki/List_of_populated_places_in_Uruguay,legitimate
https://www.wordmagicsoft.com/dictionary/es-en/granadina.php,legitimate
https://www.history.ca/ontv/titledetails.aspx?titleid=21273,legitimate
https://www.zvents.com/z/kansas_city_mo/hunt-midwest-subtropolis--venues--1037398,legitimate
https://www.talkradioinsiders.com/profiles/profile-mancow.html,legitimate
https://www.en.wikipedia.org/wiki/KSMO-TV,legitimate
https://www.hotmovies.com/porn-star/103059/Dino-Bravo.html,legitimate
https://www.facebook.com/Sum41?sk=wall,legitimate
